Gemeente;Stad/Gem.;Provincie;Oppervlakte (km²);Aantal inwoners (01/01/2023);Deelgemeenten;Path
Ninove;stad;Oost-Vlaanderen;72,57;40.093;Ninove, Appelterre-Eichem, Denderwindeke, Lieferinge, Nederhasselt, Okegem, Voorde, Pollare, Meerbeke, Neigem, Aspelare, Outer;path61
Olen;gem.;Antwerpen;23,17;12.689;Olen;path160
Oostende;stad;West-Vlaanderen;37,72;72.175;Oostende, Stene, Zandvoorde;path66
Oosterzele;gem.;Oost-Vlaanderen;43,12;14.024;Oosterzele, Balegem, Gijzenzele, Landskouter, Moortsele, Scheldewindeke;path35
Oostkamp;gem.;West-Vlaanderen;79,65;24.200;Oostkamp, Hertsberge, Ruddervoorde, Waardamme;path85
Oostrozebeke;gem.;West-Vlaanderen;16,62;8.021;Oostrozebeke;path109
Opwijk;gem.;Vlaams-Brabant;19,69;14.890;Opwijk, Mazenzele;path253
Oudenaarde;stad;Oost-Vlaanderen;68,06;32.482;Oudenaarde, Bevere, Edelare, Eine, Ename, Heurne, Leupegem, Mater, Melden, Mullem, Nederename, Volkegem, Welden;path49
Oudenburg;stad;West-Vlaanderen;35,38;9.911;Oudenburg, Ettelgem, Roksem, Westkerke;path74
Oud-Heverlee;gem.;Vlaams-Brabant;31,15;11.545;Oud-Heverlee, Sint-Joris-Weert, Blanden, Haasrode, Vaalbeek;path276
Oudsbergen;gem.;Limburg;116,24;23.791;Ellikom, Gruitrode, Meeuwen, Neerglabbeek, Opglabbeek, Wijshagen;path208
Oud-Turnhout;gem.;Antwerpen;38,8;14.734;Oud-Turnhout;path140
Overijse;gem.;Vlaams-Brabant;44,43;25.978;Overijse;path311
;;;;;;
Peer;stad;Limburg;86,95;16.534;Peer, Grote-Brogel, Kleine-Brogel, Wijchmaal;path207
Pelt;gem.;Limburg;83,63;34.100;Neerpelt, Overpelt, Sint-Huibrechts-Lille;path201
Pepingen;gem.;Vlaams-Brabant;36,05;4.567;Pepingen, Bogaarden, Heikruis, Elingen, Beert, Bellingen;path304
Pittem;gem.;West-Vlaanderen;34,42;6.834;Pittem, Egem;path102
